,,,,,,,,,,,,,,,,,,
,Electric Vehicle Registration Counts by State,,,,,,,,,,,,,,,,,
,State, Aprx. Registration Count ,,,,,,,,,,,,,,,,
,Alabama, 900 ,,,,,,,,,,,,,,,,
,Alaska, 370 ,,,,,,,,,,,,,,,,
,Arizona," 9,820 ",,,,,,,,,,,,,,,,
,Arkansas, 270 ,,,,,,,,,,,,,,,,
,California," 179,600 ",,,,,,,,,,,,,,,,
,Colorado," 7,750 ",,,,,,,,,,,,,,,,
,Connecticut," 2,710 ",,,,,,,,,,,,,,,,
,Delaware, 400 ,,,,,,,,,,,,,,,,
,District Of Columbia, 660 ,,,,,,,,,,,,,,,,
,Florida," 16,600 ",,,,,,,,,,,,,,,,
,Georgia," 13,530 ",,,,,,,,,,,,,,,,
,Hawaii," 5,360 ",,,,,,,,,,,,,,,,
,Idaho, 710 ,,,,,,,,,,,,,,,,
,Illinois," 7,950 ",,,,,,,,,,,,,,,,
,Indiana," 1,740 ",,,,,,,,,,,,,,,,
,Iowa, 610 ,,,,,,,,,,,,,,,,
,Kansas, 970 ,,,,,,,,,,,,,,,,
,Kentucky, 730 ,,,,,,,,,,,,,,,,
,Louisiana, 770 ,,,,,,,,,,,,,,,,
,Maine, 470 ,,,,,,,,,,,,,,,,
,Maryland," 4,590 ",,,,,,,,,,,,,,,,
,Massachusetts," 5,520 ",,,,,,,,,,,,,,,,
,Michigan," 2,730 ",,Source: ,,,,,,,,,,,,,,
,Minnesota," 2,730 ",,NREL derived data from IHS Markit light-duty vehicle registrations in 2017,,,,,,,,,,,,,,
,Mississippi, 260 ,,,,,,,,,,,,,,,,
,Missouri," 2,110 ",,Notes: ,,,,,,,,,,,,,,
,Montana, 330 ,,"California had approximately 179,600 light-duty vehicle registrations in 2017, but the chart is cut off at 25,000 to make it easier to see the other states.",,,,,,,,,,,,,,
,Nebraska, 520 ,,,,,,,,,,,,,,,,
,Nevada," 3,030 ",,Worksheet available at afdc.energy.gov/data,,,,,,,,,,,,,,
,New Hampshire, 650 ,,Last updated 4/1/2019,,,,,,,,,,,,,,
,New Jersey," 6,610 ",,,,,,,,,,,,,,,,
,New Mexico, 780 ,,,,,,,,,,,,,,,,
,New York," 10,940 ",,,,,,,,,,,,,,,,
,North Carolina," 4,540 ",,,,,,,,,,,,,,,,
,North Dakota, 140 ,,,,,,,,,,,,,,,,
,Ohio," 3,790 ",,,,,,,,,,,,,,,,
,Oklahoma," 1,380 ",,,,,,,,,,,,,,,,
,Oregon," 9,550 ",,,,,,,,,,,,,,,,
,Pennsylvania," 4,390 ",,,,,,,,,,,,,,,,
,Rhode Island, 380 ,,,,,,,,,,,,,,,,
,South Carolina," 1,220 ",,,,,,,,,,,,,,,,
,South Dakota, 180 ,,,,,,,,,,,,,,,,
,Tennessee," 2,970 ",,,,,,,,,,,,,,,,
,Texas," 14,390 ",,,,,,,,,,,,,,,,
,Utah," 3,410 ",,,,,,,,,,,,,,,,
,Vermont, 750 ,,,,,,,,,,,,,,,,
,Virginia," 4,290 ",,,,,,,,,,,,,,,,
,Washington," 19,900 ",,,,,,,,,,,,,,,,
,West Virginia, 140 ,,,,,,,,,,,,,,,,
,Wisconsin," 2,700 ",,,,,,,,,,,,,,,,
,Wyoming, 100 ,,,,,,,,,,,,,,,,
,Total," 366,940 ",,,,,,,,,,,,,,,,